student_id,age,education_level,career_goal,experience_level,study_hours_per_week,learning_style,interest_ai,interest_data_science,interest_web_dev,interest_backend,interest_frontend,interest_mobile,interest_cloud,interest_cybersecurity,python_score,cpp_score,java_score,javascript_score,html_score,css_score,sql_score,database_score,statistics_score,probability_score,linear_algebra_score,calculus_score,machine_learning_score,deep_learning_score,git_score,linux_score,docker_score,cloud_score,sessions_completed,avg_session_duration,projects_completed,quiz_attempts,quiz_avg_score,consistency_score,streak_days,target_completion_months,available_hours_weekly,recommended_next_topic,recommended_difficulty,learning_path_stage
STU00001,17,High School,Full Stack Developer,Beginner,76.31,Visual,46.05,75.81,55.28,45.2,54.2,44.76,19.14,25.7,30.86,34.19,40.99,40.08,39.24,38.78,15.14,55.11,8.34,42.03,15.86,30.56,21.28,3.32,58.04,28.02,19.18,16.38417543817678,17,40.26,2,11,35.25,82.32,9.0,18,13.9,SQL,Easy,2
STU00002,20,Bachelor,ML Engineer,Beginner,40.0,Reading/Writing,100.0,81.66,44.58,70.01,29.08,21.44,26.59,35.48,37.34,42.22,18.08,20.34,31.5,18.2,36.48,25.88,40.0,52.87,60.61,33.84,87.03,55.55,39.23,34.4,6.91,35.43550393168241,10,41.17,1,6,70.52,78.19,7.0,18,6.8,Deep Learning,Easy,2
STU00003,24,PhD,AI Engineer,Intermediate,6.04,Kinesthetic,63.01,62.06,61.07,45.08,35.28,45.49,29.18,8.21,43.29,31.79,25.55,18.47,19.85,26.16,39.77,8.76,52.38,32.73,23.85,42.66,60.08,53.35,19.33,39.4,17.0,52.934408086380095,42,42.03,6,8,35.4,70.38,10.0,9,8.2,Git,Medium,2
STU00004,29,High School,Backend Developer,Intermediate,16.51,Kinesthetic,62.79,51.71,49.12,82.16,42.39,14.9,40.76,67.45,16.47,32.93,41.45,43.83,18.85,43.79,51.58,51.6,9.6,0.0,0.0,16.07,37.29,25.1,53.86,58.6,22.82,51.3028026902745,7,69.88,5,5,27.63,38.29,0.0,9,12.0,SQL,Easy,3
STU00005,18,Bachelor,Software Engineer,Beginner,3.93,Auditory,53.82,56.61,30.49,38.98,48.97,41.01,79.06,39.64,19.86,50.63,24.4,14.71,18.27,51.18,24.37,36.77,39.91,18.63,18.74,24.12,7.72,16.51,51.17,12.9,3.67,9.201612466539173,23,37.39,2,3,46.08,61.56,7.0,6,10.0,Python,Easy,1
STU00006,27,Associate,Cybersecurity Engineer,Beginner,14.5,Visual,42.67,25.78,38.36,60.65,74.02,63.47,51.57,52.87,20.42,0.0,23.42,20.46,23.74,38.86,9.71,17.61,26.01,9.49,10.37,35.45,21.09,23.42,42.24,21.86,16.76,17.404797695366838,4,54.62,6,8,18.72,65.02,6.0,9,7.9,Python,Medium,2
STU00007,19,High School,Full Stack Developer,Beginner,18.22,Kinesthetic,53.11,50.78,42.27,77.19,27.26,32.45,31.3,44.27,12.92,10.85,28.24,35.21,15.39,16.38,57.63,64.21,40.64,0.0,33.8,2.55,21.7,0.0,50.09,63.08,32.96,14.08891343060312,16,82.19,1,12,52.09,37.23,11.0,9,15.6,Microservices,Hard,4
STU00008,28,Bachelor,Full Stack Developer,Advanced,6.22,Visual,62.19,52.63,37.43,81.64,36.04,67.16,46.99,38.35,51.35,31.92,37.69,31.41,20.68,47.44,83.42,79.41,16.45,37.18,60.4,0.0,18.25,17.23,55.44,56.76,51.75,33.34687316275053,34,35.59,2,6,38.83,46.41,5.0,6,16.6,Node.js,Hard,4
STU00009,21,Bachelor,Software Engineer,Beginner,8.22,Auditory,27.56,33.99,51.02,29.44,64.46,47.25,47.96,38.55,53.92,51.66,28.66,9.39,22.25,26.93,47.72,26.24,17.74,31.96,12.79,7.34,15.99,17.28,34.87,28.29,24.33,20.617420209855364,33,75.86,1,4,64.33,54.65,15.0,6,38.9,Git,Easy,2
STU00010,18,Master,ML Engineer,Beginner,6.93,Kinesthetic,80.53,58.3,55.22,61.84,53.88,50.44,77.47,54.9,44.47,24.74,14.13,35.61,4.01,35.6,28.72,37.65,33.75,62.82,90.4,31.15,69.61,59.86,26.65,3.43,30.26,3.00449934892153,12,62.38,7,10,46.17,81.2,9.0,9,7.6,Git,Easy,1
STU00011,23,Bachelor,Data Scientist,Intermediate,16.37,Reading/Writing,80.89,65.15,58.09,49.7,44.66,10.1,43.25,40.76,65.32,35.64,17.86,10.0,8.9,19.85,9.15,25.73,77.19,70.77,62.54,52.12,77.95,46.5,42.4,12.1,29.33,18.247711503902146,16,99.71,2,2,23.18,25.88,4.0,3,16.9,Deep Learning,Medium,1
STU00012,21,High School,Cloud Engineer,Beginner,14.42,Auditory,69.59,73.77,66.57,16.3,48.08,60.51,56.41,29.39,31.97,33.32,26.71,47.18,26.0,8.49,0.06,23.34,2.64,15.89,23.5,16.32,19.62,10.08,34.34,57.35,54.91,72.99074571878782,27,87.39,1,7,55.38,52.99,11.0,9,4.7,Linux,Hard,3
STU00013,33,Master,Backend Developer,Intermediate,19.59,Kinesthetic,62.74,29.91,88.02,58.46,46.38,27.63,54.16,63.89,2.05,35.1,38.55,40.2,62.55,52.29,45.4,92.7,24.4,35.3,15.0,29.42,0.0,23.08,65.01,53.44,53.99,47.890989686129686,18,48.8,4,9,39.11,33.2,6.0,9,6.8,SQL,Medium,1
STU00014,26,Bachelor,Full Stack Developer,Intermediate,11.04,Visual,84.58,58.82,63.83,67.57,51.22,45.77,24.18,22.78,12.79,23.94,33.78,40.11,40.92,34.94,58.84,64.42,47.45,6.59,70.7,25.52,29.92,0.0,67.72,18.02,49.22,47.6716883971037,15,33.97,2,8,40.34,84.28,6.0,6,16.7,SQL,Medium,2
STU00015,19,Master,ML Engineer,Beginner,4.84,Kinesthetic,96.9,99.21,52.8,59.4,47.41,38.09,41.94,41.36,59.39,4.82,28.14,25.72,19.84,37.96,37.1,12.25,47.29,71.49,66.74,50.11,60.91,40.82,43.0,42.82,5.82,15.50837045971556,11,44.85,2,3,62.09,37.12,3.0,3,40.0,Linux,Easy,1
STU00016,26,Bachelor,Software Engineer,Intermediate,6.23,Visual,50.96,50.31,61.89,58.92,54.76,29.5,50.48,14.15,41.46,16.16,22.2,46.16,18.6,53.93,32.6,33.23,37.04,51.56,21.89,25.84,31.22,15.35,63.9,39.37,49.81,15.61753508678995,68,16.2,8,13,81.25,51.37,10.0,12,9.4,Linux,Medium,3
STU00017,24,High School,Frontend Developer,Beginner,5.36,Visual,80.22,76.99,74.99,26.61,90.68,51.08,51.17,32.37,7.77,30.47,26.52,38.03,70.89,48.55,27.74,20.39,28.77,43.95,30.35,6.16,22.67,3.5,10.98,3.28,19.39,7.688419428882754,9,41.08,1,3,62.2,37.38,2.0,3,4.5,CSS,Easy,2
STU00018,24,Master,Software Engineer,Intermediate,7.23,Auditory,58.63,53.82,65.8,47.36,76.03,22.93,54.73,55.32,53.43,51.93,10.72,0.0,35.31,18.27,53.24,23.13,17.43,55.17,43.12,20.71,10.61,29.48,28.31,58.73,33.7,26.80559804023693,16,39.95,4,13,95.44,18.12,3.0,6,17.2,Git,Hard,1
STU00019,27,Bachelor,Full Stack Developer,Beginner,8.53,Auditory,74.21,60.75,52.55,52.92,23.51,30.53,53.09,66.32,32.8,10.59,38.21,43.33,43.67,47.18,42.74,57.68,21.44,17.53,43.89,5.86,31.78,13.33,44.44,29.7,19.33,33.616654027040276,26,24.5,4,11,28.16,56.22,5.0,9,8.2,Transformers,Easy,2
STU00020,26,High School,Frontend Developer,Beginner,9.14,Reading/Writing,53.79,27.14,65.2,40.68,100.0,28.06,58.72,25.91,41.5,19.8,31.16,39.09,71.09,73.99,37.35,10.76,54.69,12.71,33.75,5.87,0.0,34.94,33.62,29.21,0.0,17.800579959912586,33,109.95,8,8,64.22,70.21,6.0,6,22.9,JavaScript,Medium,2
STU00021,32,Master,Full Stack Developer,Intermediate,11.07,Reading/Writing,61.89,75.09,100.0,58.36,66.15,61.0,8.77,55.77,42.0,22.57,85.93,37.97,55.73,46.44,40.57,39.69,23.66,4.35,27.91,13.04,22.6,22.35,38.32,70.81,37.32,23.360829548516392,4,41.08,9,8,74.71,52.48,0.0,6,6.5,SQL,Medium,1
STU00022,41,Master,Data Scientist,Advanced,3.94,Auditory,50.11,70.86,32.98,52.34,37.23,81.43,38.72,36.78,92.1,35.04,43.82,44.09,46.98,54.87,62.33,24.97,100.0,83.54,77.79,62.52,83.36,61.9,41.1,22.37,0.0,21.38778452587695,562,57.02,5,6,55.31,95.19,35.0,6,27.6,Microservices,Medium,3
STU00023,28,PhD,Cybersecurity Engineer,Intermediate,19.72,Auditory,58.75,50.7,31.76,64.75,59.05,59.59,62.71,51.98,17.19,20.1,40.26,39.73,13.65,30.3,22.33,10.04,33.79,27.19,30.85,50.69,1.0,3.57,55.3,81.34,27.69,21.364846630425205,13,40.04,5,4,42.1,88.21,2.0,12,15.1,Statistics,Hard,1
